composition,Phase
Al1.2 Cr1 Fe1 Ni1,BCC+Sec
Al1.33 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1.3 Cr1 Fe1 Ni1,BCC+Sec
Al1.5 Co1 Cr1 Cu0.5 Fe1 Ni1,BCC+Sec
Al1.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al1.5 Mo1 Nb1 Ti1 V1,BCC+Sec
Al1.71 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1.8 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1.8 Cr1 Cu1 Fe1 Ni2,BCC+Sec
Al10 Cr18 Fe36 Mn21 Ni15,BCC+Sec
Al2.08 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al2.2 Cr1 Cu1 Fe1 Ni2,BCC+Sec
Al2.5 Cr1 Cu1 Fe1 Ni2,BCC+Sec
Al2 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al2 Cr1 Cu1 Fe1 Ni2,BCC+Sec
Al1 Co1 Cr2 Cu0.5 Fe1 Ni1,BCC+Sec
Al1 Co1 Cr1 Ni1,BCC+Sec
Al1 Cr1 Cu0.5 Fe1 Ni1,BCC+Sec
Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al1 Cr1 Fe1 Ni1,BCC+Sec
Al1 Co1 Cr2 Fe1 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni2,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni2.1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni2.2,BCC+Sec
Al0.8 Co1 Cr1 Ni1 Si0.2,BCC+Sec
Al1 Co0.5 Cr1 Fe1 Mo0.5,BCC+Sec
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al1 Co1.5 Cr1 Fe1 Mo0.5,BCC+Sec
Al1 Co1.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni1 Ti1.5,BCC+Sec
Al1.4 Co0.9 Cr1.4 Cu0.5 Fe0.9 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec
Al0.5 Nb1 Ti1 V1 Zr1,BCC+Sec
Al1 Nb1 Ti1 V1 Zr0.5,BCC+Sec
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,BCC+Sec
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,BCC+Sec
Al1 Co0.2 Cr1.5 Fe0.2 Ni1 Si1 Ti0.2,BCC+Sec
Al1 Co0.2 Cr1 Fe0.2 Ni1 Si1 Ti0.2,BCC+Sec
Al1 Co0.6 Cr1 Fe0.2 Ni0.2 Si0.2 Ti0.2,BCC+Sec
Al0.67 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec
Al0.5 Cr1 Mo1 Nb1 Si0.3 Ti1 V1,BCC+Sec
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu0.5 Fe1 Ni2.5,BCC+Sec
Al3 Cr1 Fe1 Mn1 Ti0.25,BCC+Sec
Co1 Cr1 Mo1 Nb1,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti1,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti0.2,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti0.5,BCC+Sec
Hf1 Mo1 Nb1 Si0.3 Ti1 V1,BCC+Sec
Hf1 Mo1 Nb1 Si0.5 Ti1 V1,BCC+Sec
Hf1 Mo1 Nb1 Si0.7 Ti1 V1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.4 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.6 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.8 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo1 Ni1,BCC+Sec
Cr1 Cu1 Fe1 Ni1 Zr1,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec
